"duration","E","O"
0,12568.3974358976,18
0.25,8299.43589743603,14
0.5,5965.37179487189,19
0.75,4613.92948717955,22
1,3742.01923076926,24
1.25,3142.42948717952,10
1.5,2686.51282051285,30
1.75,2339.7371794872,15
2,2044.62820512822,15
2.25,1812.01282051284,13
2.5,1603.69230769233,11
2.75,1414.24358974361,7
3,1249.65384615386,10
3.25,1110.1794871795,5
3.5,986.506410256422,4
3.75,877.96153846155,4
4,6063.16025641033,14
