"duration","age","E","O"
0,30,2149.01282051276,60
0.0833333333333333,30,1584.23717948718,43
0.166666666666667,30,1265.96153846147,909
0.25,30,989.224358974307,387
0.333333333333333,30,850.871794871817,157
0.416666666666667,30,761.717948717926,98
0.5,30,629.314102564105,154
0.583333333333333,30,415.71153846156,101
0.666666666666667,30,305.006410256385,57
0.75,30,261.10256410255,74
0.833333333333333,30,230.557692307696,43
0.916666666666667,30,206.487179487175,30
1,30,184.461538461533,29
1.08333333333333,30,167.660256410264,21
1.16666666666667,30,154.282051282047,30
1.25,30,139.294871794866,25
1.33333333333333,30,126.16025641026,25
1.41666666666667,30,115.737179487176,24
1.5,30,105.006410256409,35
1.58333333333333,30,93.2948717948742,17
1.66666666666667,30,82.2307692307657,18
1.75,30,71.3782051282034,10
1.83333333333333,30,64.2820512820537,12
1.91666666666667,30,57.5705128205121,9
2,30,143.608974358971,14
2.25,30,112.711538461537,10
2.5,30,86.6794871794865,8
2.75,30,67.7692307692319,10
3,30,412.897435897437,8
0,32,2236.51282051281,67
0.0833333333333333,32,1655.51282051269,97
0.166666666666667,32,1330.43589743587,940
0.25,32,1049.15384615384,392
0.333333333333333,32,910.083333333282,157
0.416666666666667,32,823.724358974355,66
0.5,32,685.698717948747,148
0.583333333333333,32,444.974358974346,109
0.666666666666667,32,329.929487179478,46
0.75,32,282.128205128206,76
0.833333333333333,32,245.955128205118,79
0.916666666666667,32,217.544871794867,37
1,32,196.371794871799,29
1.08333333333333,32,181.878205128201,35
1.16666666666667,32,166.897435897433,26
1.25,32,152.217948717951,28
1.33333333333333,32,139.096153846154,27
1.41666666666667,32,128.17948717948,28
1.5,32,115.467948717949,36
1.58333333333333,32,103.858974358976,25
1.66666666666667,32,91.7884615384572,32
1.75,32,81.5769230769253,11
1.83333333333333,32,73.7243589743598,15
1.91666666666667,32,66.0961538461494,17
2,32,161.365384615387,27
2.25,32,129.314102564102,14
2.5,32,102.647435897436,9
2.75,32,81.7948717948704,9
3,32,489.801282051285,12
0,34,2335.18589743589,71
0.0833333333333333,34,1734.14102564088,110
0.166666666666667,34,1404.28846153844,944
0.25,34,1115.391025641,382
0.333333333333333,34,977.076923076853,156
0.416666666666667,34,888.371794871813,79
0.5,34,745.903846153885,173
0.583333333333333,34,471.480769230728,116
0.666666666666667,34,342.185897435899,61
0.75,34,292.160256410252,78
0.833333333333333,34,256.66025641024,77
0.916666666666667,34,228.557692307698,31
1,34,208.160256410261,24
1.08333333333333,34,191.788461538449,29
1.16666666666667,34,177.448717948722,26
1.25,34,162.198717948726,21
1.33333333333333,34,146.794871794864,31
1.41666666666667,34,133.589743589746,31
1.5,34,121.051282051282,39
1.58333333333333,34,110.993589743582,19
1.66666666666667,34,100.769230769231,22
1.75,34,87.2179487179529,12
1.83333333333333,34,77.5192307692293,11
1.91666666666667,34,69.3205128205154,9
2,34,181.096153846152,12
2.25,34,145.967948717945,20
2.5,34,115.499999999997,7
2.75,34,90.3205128205127,11
3,34,612.756410256413,6
0,36,2425.41666666667,67
0.0833333333333333,36,1812.64743589727,111
